"x"
"1" "tBodyAccmeanX"
"2" "tBodyAccmeanY"
"3" "tBodyAccmeanZ"
"4" "tBodyAccstdX"
"5" "tBodyAccstdY"
"6" "tBodyAccstdZ"
"7" "tGravityAccmeanX"
"8" "tGravityAccmeanY"
"9" "tGravityAccmeanZ"
"10" "tGravityAccstdX"
"11" "tGravityAccstdY"
"12" "tGravityAccstdZ"
"13" "tBodyAccJerkmeanX"
"14" "tBodyAccJerkmeanY"
"15" "tBodyAccJerkmeanZ"
"16" "tBodyAccJerkstdX"
"17" "tBodyAccJerkstdY"
"18" "tBodyAccJerkstdZ"
"19" "tBodyGyromeanX"
"20" "tBodyGyromeanY"
"21" "tBodyGyromeanZ"
"22" "tBodyGyrostdX"
"23" "tBodyGyrostdY"
"24" "tBodyGyrostdZ"
"25" "tBodyGyroJerkmeanX"
"26" "tBodyGyroJerkmeanY"
"27" "tBodyGyroJerkmeanZ"
"28" "tBodyGyroJerkstdX"
"29" "tBodyGyroJerkstdY"
"30" "tBodyGyroJerkstdZ"
"31" "tBodyAccMagmean"
"32" "tBodyAccMagstd"
"33" "tGravityAccMagmean"
"34" "tGravityAccMagstd"
"35" "tBodyAccJerkMagmean"
"36" "tBodyAccJerkMagstd"
"37" "tBodyGyroMagmean"
"38" "tBodyGyroMagstd"
"39" "tBodyGyroJerkMagmean"
"40" "tBodyGyroJerkMagstd"
"41" "fBodyAccmeanX"
"42" "fBodyAccmeanY"
"43" "fBodyAccmeanZ"
"44" "fBodyAccstdX"
"45" "fBodyAccstdY"
"46" "fBodyAccstdZ"
"47" "fBodyAccmeanFreqX"
"48" "fBodyAccmeanFreqY"
"49" "fBodyAccmeanFreqZ"
"50" "fBodyAccJerkmeanX"
"51" "fBodyAccJerkmeanY"
"52" "fBodyAccJerkmeanZ"
"53" "fBodyAccJerkstdX"
"54" "fBodyAccJerkstdY"
"55" "fBodyAccJerkstdZ"
"56" "fBodyAccJerkmeanFreqX"
"57" "fBodyAccJerkmeanFreqY"
"58" "fBodyAccJerkmeanFreqZ"
"59" "fBodyGyromeanX"
"60" "fBodyGyromeanY"
"61" "fBodyGyromeanZ"
"62" "fBodyGyrostdX"
"63" "fBodyGyrostdY"
"64" "fBodyGyrostdZ"
"65" "fBodyGyromeanFreqX"
"66" "fBodyGyromeanFreqY"
"67" "fBodyGyromeanFreqZ"
"68" "fBodyAccMagmean"
"69" "fBodyAccMagstd"
"70" "fBodyAccMagmeanFreq"
"71" "fBodyBodyAccJerkMagmean"
"72" "fBodyBodyAccJerkMagstd"
"73" "fBodyBodyAccJerkMagmeanFreq"
"74" "fBodyBodyGyroMagmean"
"75" "fBodyBodyGyroMagstd"
"76" "fBodyBodyGyroMagmeanFreq"
"77" "fBodyBodyGyroJerkMagmean"
"78" "fBodyBodyGyroJerkMagstd"
"79" "fBodyBodyGyroJerkMagmeanFreq"
"80" "subjectid"
"81" "activity"
